FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
102.736032,63.262031,33.704264,39.460873,12.993817,9.591827,22.622475,106.597294,40.530048,101.269176,48.752139,102.814174
383.291552,322.809337,25.727973,116.308918,3.155882,3.294474,17.060091,387.65614,307.310923,389.219115,305.275716,386.389497
983.466539,746.070993,130.684811,93.290058,7.211895,12.33819,106.316167,847.00208,49.170031,902.368642,875.519209,805.857755
411.018694,296.630114,20.623788,53.150248,7.99028,4.537525,96.078215,327.476592,107.361636,390.044832,201.728039,329.727177
474.278056,410.31024,39.783623,127.545582,6.470839,5.676792,78.802736,448.473368,210.090555,473.04346,279.248515,479.226208
615.389916,530.695221,80.399706,147.957544,21.83364,10.518272,357.399834,563.112678,584.169031,596.386114,561.128042,565.890471
333.919449,240.395938,5.882587,146.989638,6.669563,4.972913,7.7924,313.432264,121.51278,271.488527,164.274301,313.421781
468.414833,249.219728,16.943963,29.573305,2.797238,3.381533,5.002107,326.252384,52.398683,374.285459,51.897364,469.3023
177.579792,103.947497,6.794262,21.018785,2.126423,1.785217,3.641912,157.619688,11.360401,172.300513,12.030546,177.506137
621.10814,720.597822,59.382187,81.8101,7.80926,27.445382,36.289035,670.295672,142.252458,703.039968,491.502186,580.942802
366.067593,119.928097,10.754884,10.903784,3.03449,2.983725,6.18314,315.230775,75.679821,268.446514,184.567769,351.301341
310.70165,154.369567,21.337953,19.723851,3.541923,3.599152,13.815736,283.065775,51.881632,355.060639,87.668857,246.311479
26.530095,4.77544,2.208767,2.253974,1.526028,1.510983,1.798211,25.609525,2.599049,27.542301,5.036072,26.52558
465.719675,414.418717,48.716018,185.786595,5.604622,4.086149,90.037521,359.490565,181.63577,395.680187,385.099205,431.10308
250.347545,290.207067,7.43486,87.21525,3.036175,12.922053,156.162032,211.338307,239.395159,255.227016,175.625745,256.988734
777.504791,821.745839,161.499868,496.989101,4.035628,4.025386,18.894119,746.956731,48.404697,718.803547,683.165273,736.183174
362.656463,292.877953,70.25341,113.606711,10.864503,5.660929,23.183183,384.224897,184.162572,376.675952,269.567366,360.667848
936.081765,924.681729,387.540527,712.792583,77.146168,163.731974,69.722574,1115.958646,584.971591,1114.393941,886.862719,1204.991994
607.952806,604.312483,91.981428,125.112499,5.024557,22.627071,552.452211,480.97646,67.845962,498.900148,281.239798,485.832353
1315.115159,1291.523171,137.864194,52.187362,5.37132,8.263545,1046.7998,1441.319298,1140.087722,1550.525496,1241.194312,1240.298844
360.130537,272.750167,19.465376,107.992997,7.094953,9.675254,22.336177,290.019395,57.886041,330.004105,97.96004,345.809036
714.593225,666.218402,33.70516,40.741092,5.581133,4.823968,49.240266,681.54465,637.105849,735.02027,612.552717,714.451572
